Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
210602,580,10:15,120,31,0.02,,,0.02
210602,,,150,33,0.21,,,0.21
210602,,,180,41,0.24,,,0.24
210602,,,210,44,0.32,,,0.32
210602,,,240,50,0.3,,,0.3
210602,,,270,50,0.28,,,0.28
210602,,,300,50,0.34,,,0.34
210602,,,330,56,0.33,,,0.33
210602,,,360,57,0.4,,,0.4
210602,,,390,60,0.4,,,0.4
210602,,,420,60,0.49,,,0.49
210602,,,450,62,0.48,,,0.48
210602,,,480,66,0.47,,,0.47
210602,,,510,66,0.5,,,0.5
210602,,,540,66,0.5,,,0.5
210602,,,570,64,0.43,,,0.43
210602,,,600,65,0.26,,,0.26
210602,,,630,63,0.21,,,0.21
210602,,,660,55,0.25,,,0.25
210628,560,11:00,170,44,0.04,,,0.04
210628,,,200,52,0.21,,,0.21
210628,,,230,60,0.2,,,0.2
210628,,,260,62,0.29,,,0.29
210628,,,290,62,0.35,,,0.35
210628,,,320,62,0.37,,,0.37
210628,,,350,62,0.35,,,0.35
210628,,,380,56,0.34,,,0.34
210628,,,410,54,0.36,,,0.36
210628,,,440,54,0.32,,,0.32
210628,,,470,52,0.32,,,0.32
210628,,,500,50,0.25,,,0.25
210628,,,530,46,0.18,,,0.18
210628,,,560,42,0.22,,,0.22
210628,,,590,42,0.1,,,0.1
210628,,,620,36,0.15,,,0.15
210628,,,650,32,0.17,,,0.17
210628,,,680,28,0.06,,,0.06
210628,,,710,14,0.03,,,0.03
210716,500,13:00,65,27,0,,,0
210716,,,90,34,0,,,0
210716,,,115,30,0.15,,,0.15
210716,,,140,38,0.25,,,0.25
210716,,,165,40,0.23,,,0.23
210716,,,190,46,0.25,,,0.25
210716,,,215,50,0.27,,,0.27
210716,,,240,53,0.32,,,0.32
210716,,,265,50,0.36,,,0.36
210716,,,290,56,0.37,,,0.37
210716,,,315,56,0.31,,,0.31
210716,,,340,62,0.34,,,0.34
210716,,,365,62,0.32,,,0.32
210716,,,390,62,0.31,,,0.31
210716,,,415,62,0.36,,,0.36
210716,,,440,69,0.4,,,0.4
210716,,,465,58,0.36,,,0.36
210716,,,490,54,0.36,,,0.36
210716,,,515,51,0.29,,,0.29
210716,,,540,46,0.27,,,0.27
210716,,,565,40,0,,,0
210728,500,12:00,250,46,0.37,,,0.37
210728,,,275,60,0.38,,,0.38
210728,,,300,66,0.46,,,0.46
210728,,,325,66,0.53,,,0.53
210728,,,350,70,0.47,,,0.47
210728,,,375,68,0.42,,,0.42
210728,,,400,68,0.28,,,0.28
210728,,,425,65,0.37,,,0.37
210728,,,450,62,0.26,,,0.26
210728,,,475,60,0.23,,,0.23
210728,,,500,56,0.22,,,0.22
210728,,,525,58,0.22,,,0.22
210728,,,550,56,0.19,,,0.19
210728,,,575,53,0.19,,,0.19
210803,500,12:15,265,36,0.02,,,0.02
210803,,,290,38,0.14,,,0.14
210803,,,315,44,0.21,,,0.21
210803,,,340,52,0.25,,,0.25
210803,,,365,52,0.21,,,0.21
210803,,,390,54,0.18,,,0.18
210803,,,415,54,0.17,,,0.17
210803,,,440,54,0.17,,,0.17
210803,,,465,46,0.18,,,0.18
210803,,,490,48,0.19,,,0.19
210803,,,515,45,0.18,,,0.18
210803,,,540,43,0.17,,,0.17
210803,,,565,45,0.18,,,0.18
210803,,,590,45,0.19,,,0.19
210803,,,615,42,0.18,,,0.18
210803,,,640,34,0.18,,,0.18
210803,,,665,30,0.18,,,0.18
210803,,,690,26,0.21,,,0.21
210803,,,715,20,0.21,,,0.21
210803,,,740,11,0.22,,,0.22
210803,,,765,0,0,,,0
210809,530,12:15,275,54,0.38,,,0.38
210809,,,300,58,0.37,,,0.37
210809,,,325,64,0.43,,,0.43
210809,,,350,64,0.45,,,0.45
210809,,,375,64,0.52,,,0.52
210809,,,400,64,0.52,,,0.52
210809,,,425,62,0.51,,,0.51
210809,,,450,60,0.48,,,0.48
210809,,,475,58,0.49,,,0.49
210809,,,500,55,0.47,,,0.47
210809,,,525,55,0.48,,,0.48
210809,,,550,54,0.45,,,0.45
210809,,,575,55,0.42,,,0.42
210809,,,600,52,0.41,,,0.41
210809,,,625,44,0.42,,,0.42
210809,,,650,42,0.39,,,0.39
210809,,,675,38,0.34,,,0.34
210809,,,700,32,0.36,,,0.36
210809,,,725,24,0.38,,,0.38
210809,,,750,15,0.35,,,0.35
210809,,,775,2,0,,,0
210823,590,11:30,270,64,0.38,,,0.38
210823,,,300,70,0.41,,,0.41
210823,,,330,75,0.55,,,0.55
210823,,,360,78,,0.54,0.49,0.515
210823,,,390,79,,0.53,0.53,0.53
210823,,,420,80,,0.59,0.58,0.585
210823,,,450,80,,0.54,0.49,0.515
210823,,,480,73,0.56,,,0.56
210823,,,510,72,0.53,,,0.53
210823,,,540,72,0.48,,,0.48
210823,,,570,72,0.48,,,0.48
210823,,,600,70,0.46,,,0.46
210823,,,630,66,0.46,,,0.46
210823,,,660,60,0.47,,,0.47
210823,,,690,54,0.49,,,0.49
210823,,,720,53,0.44,,,0.44
210823,,,750,46,0.38,,,0.38
210823,,,780,36,0.3,,,0.3
210823,,,810,26,0.2,,,0.2
210823,,,840,11,0,,,0
210913,550,11:30,300,58,0.35,,,0.35
210913,,,325,66,0.35,,,0.35
210913,,,350,68,0.45,,,0.45
210913,,,375,70,0.51,,,0.51
210913,,,400,72,0.53,,,0.53
210913,,,425,70,0.55,,,0.55
210913,,,450,60,0.54,,,0.54
210913,,,475,62,0.47,,,0.47
210913,,,500,62,0.46,,,0.46
210913,,,525,60,0.48,,,0.48
210913,,,550,60,0.49,,,0.49
210913,,,575,63,0.4,,,0.4
210913,,,600,62,0.37,,,0.37
210913,,,625,56,0.43,,,0.43
210913,,,650,51,0.38,,,0.38
210913,,,675,48,0.4,,,0.4
210913,,,700,46,0.29,,,0.29
210913,,,725,42,0.32,,,0.32
210913,,,750,34,0.26,,,0.26
210913,,,775,32,0.24,,,0.24
210913,,,800,22,0.19,,,0.19
210913,,,825,14,0.01,,,0.01
210922,560,14:30,310,48,0.14,,,0.14
210922,,,335,54,0.14,,,0.14
210922,,,360,61,0.2,,,0.2
210922,,,385,65,0.21,,,0.21
210922,,,410,66,0.25,,,0.25
210922,,,435,66,0.25,,,0.25
210922,,,460,66,0.26,,,0.26
210922,,,485,66,0.24,,,0.24
210922,,,510,60,0.26,,,0.26
210922,,,535,56,0.24,,,0.24
210922,,,560,54,0.22,,,0.22
210922,,,585,56,0.21,,,0.21
210922,,,610,58,0.2,,,0.2
210922,,,635,56,0.2,,,0.2
210922,,,660,52,0.2,,,0.2
210922,,,685,47,0.21,,,0.21
210922,,,710,42,0.19,,,0.19
210922,,,735,41,0.13,,,0.13
210922,,,760,37,0.15,,,0.15
210922,,,785,30,0.14,,,0.14
210930,600,11:30,80,55,0,,,0
210930,,,110,61,0.03,,,0.03
210930,,,140,63,0.14,,,0.14
210930,,,170,66,0.16,,,0.16
210930,,,200,66,0.24,,,0.24
210930,,,230,68,0.27,,,0.27
210930,,,260,69,0.25,,,0.25
210930,,,290,67,0.46,,,0.46
210930,,,320,65,0.22,,,0.22
210930,,,350,65,0.15,,,0.15
210930,,,380,63,0.17,,,0.17
210930,,,410,60,0.21,,,0.21
210930,,,440,59,0.16,,,0.16
210930,,,470,55,0.16,,,0.16
210930,,,500,51,0.15,,,0.15
210930,,,530,49,0.09,,,0.09
210930,,,560,44,0.08,,,0.08
210930,,,590,38,0.08,,,0.08
210930,,,620,30,0.03,,,0.03
210930,,,650,25,0,,,0
